"","state","tot","p1","p2","p3"
"1","Alabama",159,77,78,4
"2","Alaska",78,34,36,8
"3","Arizona",25,13,12,0
"4","Arkansas",228,94,125,9
"5","California",142,52,74,16
"6","Colorado",192,112,67,13
"7","Connecticut",16,0,8,8
"8","Delaware",8,3,2,3
"9","District of Columbia",2,1,1,0
"10","Florida",144,67,68,9
"11","Georgia",377,177,195,5
"12","Hawaii",14,5,5,4
"13","Idaho",120,56,61,3
"14","Illinois",281,114,144,23
"15","Indiana",181,95,85,1
"16","Iowa",298,150,137,11
"17","Kansas",368,185,137,46
"18","Kentucky",338,145,173,20
"19","Louisiana",140,65,67,8
"20","Maine",48,11,21,16
"21","Maryland",43,12,25,6
"22","Massachusetts",30,2,15,13
"23","Michigan",164,90,29,45
"24","Minnesota",220,113,72,35
"25","Mississippi",202,99,96,7
"26","Missouri",350,154,188,8
"27","Montana",180,81,61,38
"28","Nebraska",315,154,130,31
"29","Nevada",59,19,37,3
"30","New Hampshire",33,9,12,12
"31","New Jersey",48,13,20,15
"32","New Mexico",87,37,45,5
"33","New York",159,51,44,64
"34","North Carolina",258,102,127,29
"35","North Dakota",159,68,80,11
"36","Ohio",133,92,32,9
"37","Oklahoma",231,90,135,6
"38","Oregon",102,44,54,4
"39","Pennsylvania",135,69,22,44
"40","Puerto Rico",78,0,78,0
"41","Rhode Island",6,0,5,1
"42","South Carolina",98,47,51,0
"43","South Dakota",240,89,134,17
"44","Tennessee",210,96,111,3
"45","Texas",652,279,NA,NA
"46","Utah",89,46,41,2
"47","Vermont",54,8,29,17
"48","Virginia",362,135,180,47
"49","Washington",97,42,52,3
"50","West Virginia",98,60,18,20
"51","Wisconsin",178,85,65,28
"52","Wyoming",75,38,30,7
