"","ymd","max_ymd","state","lagzeke","followtime"
"1",2021-07-28,2022-06-01,"Alabama",0,44
"2",2021-12-29,2022-06-01,"Alabama",0,22
"3",2021-08-11,2022-05-25,"Arizona",0,41
"4",2021-07-14,2021-12-29,"Arkansas",0,24
"5",2021-12-29,2021-12-29,"Arkansas",0,0
"6",2021-12-29,2022-05-25,"California",0,21
"7",2021-09-01,2022-06-01,"Colorado",0,39
"8",2022-06-01,2022-06-01,"Colorado",NA,0
"9",2021-12-08,2022-05-11,"Connecticut",0,22
"10",2022-05-11,2022-05-11,"Connecticut",1,0
"11",2021-08-18,2022-05-11,"Delaware",0,38
"12",2021-11-17,2022-05-11,"Delaware",0,25
"13",2022-05-11,2022-05-11,"Delaware",0,0
"14",2022-05-18,2022-05-18,"District of Columbia",NA,0
"15",2021-07-21,2022-05-18,"Florida",0,43
"16",2021-12-22,2022-05-18,"Florida",0,21
"17",2022-05-18,2022-05-18,"Florida",NA,0
"18",2021-12-22,2022-06-01,"Georgia",0,23
"19",2022-05-18,2022-05-18,"Hawaii",NA,0
"20",2021-08-11,2022-06-01,"Idaho",0,42
"21",2022-01-05,2022-06-01,"Idaho",0,21
"22",2021-09-01,2022-06-01,"Illinois",0,39
"23",2021-11-24,2022-06-01,"Illinois",0,27
"24",2022-06-01,2022-06-01,"Illinois",NA,0
"25",2021-08-11,2022-05-18,"Indiana",0,40
"26",2021-11-10,2022-05-18,"Indiana",0,27
"27",2021-08-25,2022-05-11,"Iowa",0,37
"28",2021-08-04,2022-06-01,"Kansas",0,43
"29",2021-10-27,2022-06-01,"Kansas",0,31
"30",2021-11-10,2022-06-01,"Kansas",0,29
"31",2021-11-17,2022-05-18,"Kentucky",0,26
"32",2021-07-21,2022-05-18,"Louisiana",0,43
"33",2021-09-22,2022-05-18,"Maine",0,34
"34",2021-10-13,2022-05-18,"Maine",0,31
"35",2022-05-04,2022-05-18,"Maine",0,2
"36",2022-05-18,2022-05-18,"Maine",NA,0
"37",2021-12-22,2022-05-11,"Maryland",0,20
"38",2021-12-01,2022-05-04,"Massachusetts",0,22
"39",2022-05-04,2022-05-04,"Massachusetts",1,0
"40",2021-09-15,2022-05-18,"Michigan",0,35
"41",2022-05-18,2022-05-18,"Michigan",1,0
"42",2021-09-15,2022-04-27,"Minnesota",0,32
"43",2021-07-28,2022-06-01,"Mississippi",0,44
"44",2021-12-29,2022-06-01,"Mississippi",0,22
"45",2021-07-21,2022-05-18,"Missouri",0,43
"46",2021-12-01,2022-05-18,"Missouri",0,24
"47",2021-08-11,2022-05-25,"Montana",0,41
"48",2022-01-05,2022-05-25,"Montana",0,20
"49",2021-07-14,2022-05-11,"Nevada",0,43
"50",2021-10-06,2022-05-11,"Nevada",0,31
"51",2021-12-22,2022-05-11,"Nevada",0,20
"52",2021-10-20,2022-05-18,"New Hampshire",0,30
"53",2022-05-18,2022-05-18,"New Hampshire",0,0
"54",2021-12-08,2022-05-18,"New Jersey",0,23
"55",2022-05-18,2022-05-18,"New Jersey",NA,0
"56",2021-08-18,2022-05-25,"New Mexico",0,40
"57",2021-11-17,2022-05-04,"New York",0,24
"58",2022-05-04,2022-05-04,"New York",3,0
"59",2021-12-08,2022-05-18,"North Carolina",0,23
"60",2021-08-25,2022-05-18,"North Dakota",0,38
"61",2021-12-08,2021-12-08,"Oklahoma",0,0
"62",2021-08-11,2022-05-11,"Oregon",0,39
"63",2022-01-05,2022-05-11,"Oregon",0,18
"64",2021-09-15,2022-05-25,"Pennsylvania",0,36
"65",2022-05-25,2022-05-25,"Pennsylvania",0,0
"66",2021-12-08,2022-05-18,"Rhode Island",0,23
"67",2022-05-18,2022-05-18,"Rhode Island",0,0
"68",2021-12-29,2022-05-25,"South Carolina",0,21
"69",2021-08-04,2022-05-18,"Tennessee",0,41
"70",2021-12-22,2022-05-18,"Tennessee",0,21
"71",2021-08-04,2022-06-01,"Texas",0,43
"72",2021-12-22,2022-06-01,"Texas",0,23
"73",2021-08-18,2022-05-25,"Utah",0,40
"74",2021-09-22,2022-04-27,"Vermont",0,31
"75",2021-11-10,2022-04-27,"Vermont",0,24
"76",2022-04-27,2022-04-27,"Vermont",1,0
"77",2021-08-25,2022-05-11,"Virginia",0,37
"78",2021-12-15,2022-05-11,"Virginia",0,21
"79",2021-08-18,2022-05-04,"Washington",0,37
"80",2022-01-05,2022-05-04,"Washington",0,17
"81",2021-08-18,2022-06-01,"West Virginia",0,41
"82",2022-06-01,2022-06-01,"West Virginia",0,0
"83",2021-09-01,2022-04-27,"Wisconsin",0,34
"84",2021-08-04,2022-06-01,"Wyoming",0,43
"85",2021-12-29,2022-06-01,"Wyoming",0,22
