"","ymd","n()"
"1",2021-06-09,7
"2",2021-06-16,2
"3",2021-06-23,3
"4",2021-06-30,6
"5",2021-07-07,7
"6",2021-07-14,15
"7",2021-07-21,22
"8",2021-07-28,10
"9",2021-08-04,1
"10",2021-08-11,1
"11",2021-10-13,1
"12",2021-10-20,2
"13",2021-10-27,6
"14",2021-11-03,8
"15",2021-11-10,10
"16",2021-11-17,15
"17",2021-11-24,9
"18",2021-12-01,18
"19",2021-12-08,15
"20",2021-12-15,25
"21",2021-12-22,24
"22",2021-12-29,30
"23",2022-01-05,4
"24",2022-02-16,1
"25",2022-03-02,6
"26",2022-03-09,9
"27",2022-03-16,14
"28",2022-03-23,8
"29",2022-03-30,10
"30",2022-04-06,9
"31",2022-04-13,1
"32",2022-04-27,2
"33",2022-05-04,2
"34",2022-05-11,1
"35",2022-05-18,2
"36",2022-05-25,1
"37",2022-06-01,7
